split,file,candidate,bucket,label,flags,reviewer,review_date,comment
scut115,17.jpg,exact129_lam16_union_gate,union_selected_candidate,,,,,candidate selected by current two-box union gate; label page-level win/loss
scut115,156.jpg,exact129_lam16_union_gate,union_selected_candidate,,,,,candidate selected by current two-box union gate; label page-level win/loss
scut115,303.jpg,exact129_lam16_union_gate,union_selected_candidate,,,,,candidate selected by current two-box union gate; label page-level win/loss
scut115,370.jpg,exact129_lam16_union_gate,union_selected_candidate,,,,,candidate selected by current two-box union gate; label page-level win/loss
scut115,371.jpg,exact129_lam16_union_gate,union_selected_candidate,,,,,candidate selected by current two-box union gate; label page-level win/loss
holdout40,466.jpg,exact129_lam16_union_gate,union_selected_candidate,,,,,candidate selected by current two-box union gate; label page-level win/loss
scut115,156.jpg,exact129_lam16_union_gate,visible_delta_mixed,,,,,visible-delta improve_area=304 regress_area=37
scut115,17.jpg,exact129_lam16_union_gate,visible_delta_mixed,,,,,visible-delta improve_area=154 regress_area=85
scut115,303.jpg,exact129_lam16_union_gate,visible_delta_regress_only,,,,,visible-delta improve_area=0 regress_area=27
scut115,370.jpg,exact129_lam16_union_gate,visible_delta_regress_only,,,,,visible-delta improve_area=0 regress_area=32
holdout40,466.jpg,exact129_lam16_union_gate,visible_delta_mixed,,,,,visible-delta improve_area=501 regress_area=249
train160,166.jpg,exact129_lam16_relaxed_interval_rejected,selector_false_positive_overerase_risk,,,,,relaxed interval selected this page and increased train160 aggregate overerase; review as selector false positive
train160,190.jpg,exact129_lam16_relaxed_interval_rejected,selector_false_positive_overerase_risk,,,,,relaxed interval selected this page and increased train160 aggregate overerase; review as selector false positive
train160,192.jpg,exact129_lam16_relaxed_interval_rejected,selector_false_positive_overerase_risk,,,,,relaxed interval selected this page and increased train160 aggregate overerase; review as selector false positive
next120,282.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,273.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,374.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,389.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,362.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,392.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,283.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,274.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,281.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
next120,275.jpg,exact129_lam16_union_gate,coverage_negative_noop,,,,,union gate selected baseline on next120; review whether this page represents missed coverage or acceptable no-op
todo,TODO-whiteout-examples,todo,correction_fluid_white_patch,,,,,No current-repo whiteout/inpaint output directory found; add concrete correction-fluid examples before training whiteout repair.
